Commune;Code département;Département;EPCI;Code région;Région;Compte;Date de la donnée;Code EPCI;Régime d'exploitation;Puissance de raccordement;Filière;Coordonnées géographiques;Code Insee Commune
Plélauff;22;Côtes-d'Armor;CC du Kreiz-Breizh (CCKB);53;Bretagne;5;2020-12;242200715;;;Solaire;48.198244278, -3.203830075;22181
Plémet;22;Côtes-d'Armor;CC Loudéac Communauté - Bretagne Centre;53;Bretagne;18;2020-12;200067460;Realised;1106.7600000000004;Solaire;48.174549233, -2.597173725;22183
Plémy;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;15;2020-12;200069391;Realised;83.29999999999998;Solaire;48.338060493, -2.676626561;22184
Pléneuf-Val-André;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;22;2020-12;200069391;Realised;61.089999999999996;Solaire;48.583689586, -2.529492442;22186
Plénée-Jugon;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;30;2020-12;200069391;Realised;243.09;Solaire;48.355697655, -2.415202878;22185
Pommeret;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;24;2020-12;200069391;Realised;75.44999999999999;Solaire;48.458499872, -2.622213734;22246
Pont-Aven;29;Finistère;CA Concarneau Cornouaille Agglomération;53;Bretagne;10;2020-12;242900769;Realised;110.1;Solaire;47.872118169, -3.76577961;29217
Pont-Scorff;56;Morbihan;CA Lorient Agglomération;53;Bretagne;26;2020-12;200042174;Realised;72.65;Solaire;47.839516936, -3.419868984;56179
Pont-l'Abbé;29;Finistère;CC du Pays Bigouden Sud;53;Bretagne;28;2020-12;242900702;Realised;189.3;Solaire;47.865084443, -4.216921069;29220
Poullan-sur-Mer;29;Finistère;CC Douarnenez Communauté;53;Bretagne;20;2020-12;242900645;Realised;311.20000000000005;Solaire;48.077106556, -4.397620118;29226
Poullaouen;29;Finistère;CC Poher communauté;53;Bretagne;12;2020-12;242900744;Realised;72.3;Solaire;48.345412663, -3.630161619;29227
Prat;22;Côtes-d'Armor;CA Lannion-Trégor Communauté;53;Bretagne;12;2020-12;200065928;Realised;100.2;Solaire;48.682025857, -3.297974912;22254
Primelin;29;Finistère;CC Cap Sizun - Pointe du Raz;53;Bretagne;1;2020-12;242900629;;;Solaire;48.028950399, -4.605191734;29228
Priziac;56;Morbihan;CC Roi Morvan Communauté;53;Bretagne;8;2020-12;245614417;Realised;245.8;Solaire;48.055546828, -3.435130979;56182
Péaule;56;Morbihan;CC Arc Sud Bretagne;53;Bretagne;30;2020-12;200027027;Realised;467.75000000000006;Solaire;47.58283054, -2.335575467;56153
Quessoy;22;Côtes-d'Armor;CA de Lamballe Terre et Mer;53;Bretagne;25;2020-12;200069391;Realised;251.0;Solaire;48.426798978, -2.656467827;22258
Quiberon;56;Morbihan;CC Auray Quiberon Terre Atlantique;53;Bretagne;17;2020-12;200043123;Realised;107.80000000000003;Solaire;47.487910733, -3.122775164;56186
Quistinic;56;Morbihan;CA Lorient Agglomération;53;Bretagne;8;2020-12;200042174;Realised;40.199999999999996;Solaire;47.909220354, -3.127425886;56188
